FlightKey,ReceiveTime,FlightNo,RegNo,DepAirport,ArrAirport,SOBT,CraftType
2025-08-24_GCR7679_ZSJH_ZSAM,20250824114835,GCR7679,B3247,ZSJH,ZSAM,202508241115,E190
2025-08-24_GCR7679_ZLXY_ZSJH,20250824114816,GCR7679,B3247,ZLXY,ZSJH,202508240820,E190
2025-08-24_GCR7679_ZSJH_ZSAM,20250824114241,GCR7679,B3247,ZSJH,ZSAM,202508241115,E190
2025-08-24_GCR7679_ZSJH_ZSAM,20250824113613,GCR7679,B3247,ZSJH,ZSAM,202508241115,E190
2025-08-24_GCR7679_ZLXY_ZSJH,20250824105948,GCR7679,B3247,ZLXY,ZSJH,202508240820,E190
2025-08-24_GCR7679_ZLXY_ZSJH,20250824103259,GCR7679,B3247,ZLXY,ZSJH,202508240820,E190
2025-08-24_GCR7679_ZLXY_ZSJH,20250824090556,GCR7679,B3247,ZLXY,ZSJH,202508240820,E190
2025-08-24_GCR7679_ZLXY_ZSJH,20250824084808,GCR7679,B3247,ZLXY,ZSJH,202508240820,E190
2025-08-24_GCR7679_ZLXY_ZSJH,20250824083626,GCR7679,B3247,ZLXY,ZSJH,202508240820,E190
2025-08-24_GCR7679_ZSJH_ZSAM,20250824070838,GCR7679,B3247,ZSJH,ZSAM,202508241115,E190
2025-08-24_GCR7679_ZLXY_ZSJH,20250824050630,GCR7679,B3247,ZLXY,ZSJH,202508240820,E190
2025-08-24_GCR7679_ZLXY_ZSJH,20250824003735,GCR7679,,ZLXY,ZSJH,202508240820,
2025-08-24_GCR7679_ZSJH_ZSAM,20250824003734,GCR7679,,ZSJH,ZSAM,202508241115,
2025-08-24_GCR7679_ZSJH_ZSAM,20250823182713,GCR7679,,ZSJH,ZSAM,202508241115,
2025-08-24_GCR7679_ZLXY_ZSJH,20250823182638,GCR7679,,ZLXY,ZSJH,202508240820,
2025-08-24_GCR7679_ZSJH_ZSAM,20250823002106,GCR7679,,ZSJH,ZSAM,202508241115,
2025-08-24_GCR7679_ZLXY_ZSJH,20250823001909,GCR7679,,ZLXY,ZSJH,202508240820,
2025-08-24_GCR7680_ZSJH_ZLXY,20250824185416,GCR7680,B3247,ZSJH,ZLXY,202508241640,E190
2025-08-24_GCR7680_ZSJH_ZLXY,20250824184940,GCR7680,B3247,ZSJH,ZLXY,202508241640,E190
2025-08-24_GCR7680_ZSJH_ZLXY,20250824184405,GCR7680,B3247,ZSJH,ZLXY,202508241640,E190
2025-08-24_GCR7680_ZSJH_ZLXY,20250824180644,GCR7680,B3247,ZSJH,ZLXY,202508241640,E190
2025-08-24_GCR7680_ZSJH_ZLXY,20250824171220,GCR7680,B3247,ZSJH,ZLXY,202508241640,E190
2025-08-24_GCR7680_ZSAM_ZSJH,20250824170820,GCR7680,B3247,ZSAM,ZSJH,202508241405,E190
2025-08-24_GCR7680_ZSJH_ZLXY,20250824170811,GCR7680,B3247,ZSJH,ZLXY,202508241640,E190
2025-08-24_GCR7680_ZSJH_ZLXY,20250824170205,GCR7680,B3247,ZSJH,ZLXY,202508241640,E190
2025-08-24_GCR7680_ZSAM_ZSJH,20250824161153,GCR7680,B3247,ZSAM,ZSJH,202508241405,E190
2025-08-24_GCR7680_ZSAM_ZSJH,20250824155420,GCR7680,B3247,ZSAM,ZSJH,202508241405,E190
2025-08-24_GCR7680_ZSAM_ZSJH,20250824142826,GCR7680,B3247,ZSAM,ZSJH,202508241405,E190
2025-08-24_GCR7680_ZSAM_ZSJH,20250824141231,GCR7680,B3247,ZSAM,ZSJH,202508241405,E190
2025-08-24_GCR7680_ZSJH_ZLXY,20250824131137,GCR7680,B3247,ZSJH,ZLXY,202508241640,E190
2025-08-24_GCR7680_ZSAM_ZSJH,20250824103817,GCR7680,B3247,ZSAM,ZSJH,202508241405,E190
2025-08-24_GCR7680_ZSJH_ZLXY,20250824003636,GCR7680,,ZSJH,ZLXY,202508241640,
2025-08-24_GCR7680_ZSAM_ZSJH,20250824003605,GCR7680,,ZSAM,ZSJH,202508241405,
2025-08-24_GCR7680_ZSJH_ZLXY,20250823182614,GCR7680,,ZSJH,ZLXY,202508241640,
2025-08-24_GCR7680_ZSAM_ZSJH,20250823182549,GCR7680,,ZSAM,ZSJH,202508241405,
2025-08-24_GCR7680_ZSAM_ZSJH,20250823001910,GCR7680,,ZSAM,ZSJH,202508241405,
2025-08-24_GCR7680_ZSJH_ZLXY,20250823001739,GCR7680,,ZSJH,ZLXY,202508241640,
2025-08-24_GCR7681_ZLXY_ZGCD,20250825011812,GCR7681,B3100,ZLXY,ZGCD,202508240725,E190
2025-08-24_GCR7681_ZLXY_ZGCD,20250824100945,GCR7681,B3100,ZLXY,ZGCD,202508240725,E190
2025-08-24_GCR7681_ZLXY_ZGCD,20250824093010,GCR7681,B3100,ZLXY,ZGCD,202508240725,E190
2025-08-24_GCR7681_ZLXY_ZGCD,20250824090552,GCR7681,B3100,ZLXY,ZGCD,202508240725,E190
2025-08-24_GCR7681_ZLXY_ZGCD,20250824090129,GCR7681,B3100,ZLXY,ZGCD,202508240725,E190
2025-08-24_GCR7681_ZLXY_ZGCD,20250824080601,GCR7681,B3100,ZLXY,ZGCD,202508240725,E190
